turn_id	scene_id	start	end	n_sentences
0	53	9.36	11.2	1
1	53	13.2	13.84	1
2	53	14.88	16.399	1
3	53	16.88	17.6	1
4	53	19.12	19.6	1
5	53	19.6	20.08	1
6	53	20.32	20.68	1
7	53	20.68	21.76	1
8	53	21.92	22.64	1
9	53	23.52	23.92	1
10	53	26.37	26.93	1
11	53	30.37	33.49	1
12	53	33.49	34.53	1
13	53	38.37	39.25	1
14	53	40.29	41.33	1
15	54	55.48	55.88	1
16	54	56.04	56.48	1
17	54	56.48	57.8	1
18	54	58.36	58.84	1
19	54	59.16	60.32	1
20	54	60.32	62.68	1
21	54	62.84	63.88	1
22	54	64.04	65.48	1
23	54	65.88	68.68	1
24	54	70.2	70.92	1
25	54	70.92	72.04	1
26	54	72.04	72.48	1
27	54	72.48	73.88	1
28	54	73.96	74.76	1
29	54	76.2	77.4	1
30	54	77.64	79.96	1
31	54	80.41	81.37	1
32	54	81.61	82.57	1
33	54	84.09	85.41	1
34	54	85.41	86.81	1
35	54	87.13	87.77	1
36	54	89.13	89.53	1
37	54	89.53	89.73	1
38	54	89.73	91.37	1
39	54	92.17	100.97	1
40	54	102.81	104.65	1
41	54	104.73	105.17	1
42	54	105.17	106.65	1
43	54	106.65	108.25	1
44	54	108.78	109.02	1
45	54	109.98	111.18	1
46	55	113.82	117.18	1
47	55	117.5	122.86	1
48	55	122.86	124.38	1
49	55	125.26	127.42	1
50	55	127.42	131.42	1
51	55	134.14	134.86	1
52	55	135.1	138.62	1
53	55	138.94	140.45	1
54	55	141.8	144.36	1
55	55	145.08	147.16	1
56	55	147.8	148.44	1
57	55	148.76	149.6	1
58	55	149.6	150.56	1
59	55	150.56	151.8	1
60	55	153.4	154.84	1
61	55	155.24	155.96	1
62	55	161.32	163.76	1
63	55	163.76	165.88	1
64	55	167.8	168.52	1
65	55	169.0	170.2	1
66	55	171.72	172.28	1
67	55	172.42	174.82	1
68	56	184.18	185.14	1
69	56	188.1	188.5	1
70	57	191.14	192.42	2
71	57	192.58	193.66	1
72	57	193.66	194.74	1
73	57	197.3	197.7	1
74	57	199.6	199.84	1
75	57	199.92	200.32	1
76	57	201.68	202.16	1
77	57	202.16	202.92	1
78	57	202.92	203.56	1
79	57	203.56	205.44	1
80	57	205.6	206.28	1
81	57	206.28	206.72	1
82	57	206.72	207.84	1
83	57	207.84	208.52	1
84	57	208.52	208.8	1
85	57	208.8	210.04	1
86	57	210.04	211.68	1
87	58	224.88	226.62	1
88	58	227.82	229.9	1
89	58	230.38	230.86	1
90	58	230.86	231.98	1
91	58	233.26	234.3	1
92	58	234.46	236.14	1
93	58	236.86	238.78	1
94	58	241.02	241.5	1
95	58	241.5	241.98	1
96	58	242.86	244.86	1
97	58	244.86	246.02	1
98	58	246.02	247.98	1
99	58	248.06	250.06	1
100	58	250.7	252.22	1
101	58	253.66	254.22	1
102	58	256.75	258.19	1
103	58	260.03	264.67	1
104	58	265.79	266.43	1
105	59	268.03	268.67	1
106	59	269.39	270.15	1
107	59	270.15	270.83	1
108	59	270.83	271.15	1
109	60	276.11	276.99	1
110	60	277.31	278.51	1
111	60	280.83	282.19	1
112	60	283.13	283.45	1
113	60	284.49	286.01	1
114	60	287.29	288.49	1
115	60	290.33	291.29	1
116	61	295.37	298.97	1
117	61	299.13	301.01	1
118	61	301.01	304.17	1
119	61	305.93	306.89	1
120	61	307.29	307.73	1
121	61	307.73	308.09	1
122	61	308.09	309.05	1
123	61	309.21	310.37	1
124	61	310.37	311.05	1
125	61	311.05	311.85	1
126	61	314.55	315.19	1
127	61	315.19	316.07	2
128	61	316.07	318.15	1
129	61	318.15	319.59	1
130	61	320.15	322.23	1
131	61	322.31	325.99	1
132	61	326.07	326.79	1
133	61	327.59	328.67	1
134	61	328.67	329.39	1
135	61	329.39	330.39	2
136	61	332.79	334.87	1
137	61	339.51	340.79	1
138	61	341.35	343.67	1
139	61	345.59	346.55	1
140	61	346.63	347.83	1
141	61	349.03	349.51	1
142	61	350.47	350.95	1
143	61	351.11	353.59	1
144	61	353.75	354.35	1
145	61	354.35	355.87	1
146	61	355.87	367.12	1
147	61	394.09	394.81	1
148	62	395.21	399.25	1
149	62	399.25	400.33	1
150	62	403.37	404.13	1
151	62	404.13	404.81	1
152	62	405.21	406.17	1
153	62	411.29	417.45	1
154	62	417.94	449.69	1
155	63	450.56	451.92	1
156	63	452.32	454.32	1
157	63	455.2	455.6	1
158	63	457.68	460.88	1
159	63	460.88	462.04	1
160	63	462.04	462.64	1
161	63	462.88	464.88	1
162	63	466.24	467.04	1
163	63	469.52	470.0	1
164	63	470.8	471.92	1
165	63	471.92	473.04	1
166	63	473.28	474.36	1
167	63	474.36	475.72	1
168	63	475.72	476.24	1
169	63	476.75	477.63	1
170	63	478.11	478.51	1
171	63	478.75	479.87	1
172	63	480.59	482.99	1
173	63	484.91	486.19	1
174	63	489.31	490.19	1
175	63	491.47	494.35	1
176	63	494.99	498.91	1
177	63	500.27	502.43	1
178	63	502.92	503.48	1
179	63	508.6	509.8	1
180	63	511.32	512.2	1
181	63	512.28	513.24	1
182	63	513.24	513.92	1
183	63	513.92	515.24	1
184	64	522.36	524.68	1
185	64	526.28	528.04	1
186	64	529.1	530.06	1
187	64	531.58	533.1	1
188	64	536.38	537.5	1
189	65	563.27	570.47	1
190	65	571.59	573.43	1
191	65	573.83	574.79	1
192	65	575.51	577.35	1
193	65	577.67	578.55	1
194	65	579.11	579.99	1
