turn_id	scene_id	start	end	n_sentences
0	21	1.44	3.12	1
1	21	3.12	3.76	1
2	21	5.76	7.84	1
3	21	10.16	11.76	1
4	21	12.32	15.04	1
5	21	15.04	16.399	1
6	21	17.92	18.88	1
7	21	19.2	20.72	1
8	22	26.24	27.6	1
9	22	28.0	29.52	1
10	22	30.96	32.64	1
11	22	33.6	35.84	1
12	22	35.84	37.08	1
13	22	37.08	38.16	1
14	22	40.08	41.84	1
15	22	42.0	43.84	1
16	22	46.16	49.36	1
17	22	50.08	52.8	1
18	22	55.12	59.2	2
19	23	60.14	61.26	1
20	23	65.02	65.94	1
21	23	65.94	67.5	1
22	23	67.66	69.98	1
23	23	69.98	71.34	1
24	23	71.42	73.3	1
25	23	73.3	74.14	1
26	23	77.5	77.86	1
27	23	77.86	79.74	1
28	23	83.74	84.14	1
29	23	84.22	88.54	1
30	23	89.1	91.26	1
31	23	91.98	92.62	1
32	23	97.02	97.9	1
33	23	98.94	103.58	1
34	23	105.02	107.66	1
35	23	107.66	109.1	1
36	23	112.3	113.1	1
37	23	115.34	116.06	1
38	23	116.59	118.19	1
39	23	119.31	120.19	1
40	23	122.91	124.39	1
41	23	124.39	126.27	1
42	25	142.12	143.96	1
43	25	144.28	144.84	1
44	25	145.4	146.68	1
45	25	147.0	148.6	1
46	25	150.44	151.48	1
47	25	151.72	152.68	1
48	25	152.84	154.76	1
49	25	154.92	157.64	1
50	26	163.4	165.08	2
51	26	167.4	167.96	1
52	26	168.44	172.32	1
53	26	172.32	173.04	1
54	26	173.04	174.08	1
55	26	174.96	175.76	1
56	26	176.0	177.04	1
57	26	177.28	179.12	1
58	26	179.12	180.56	1
59	26	181.04	185.76	1
60	26	187.68	190.48	1
61	26	192.16	193.04	1
62	26	193.36	195.12	1
63	26	197.67	198.31	1
64	26	199.11	200.31	1
65	26	203.19	203.55	1
66	26	203.55	204.19	1
67	26	204.19	204.51	1
68	26	204.51	204.87	1
69	26	204.87	205.91	1
70	26	207.27	207.99	1
71	26	208.71	209.99	1
72	26	210.63	211.51	1
73	26	211.51	214.75	1
74	26	214.75	219.91	1
75	26	220.39	220.99	1
76	26	220.99	223.03	1
77	26	223.03	224.99	1
78	26	224.99	230.61	1
79	26	230.93	233.97	1
80	26	235.73	237.41	1
81	26	237.81	239.01	1
82	26	240.29	241.01	1
83	26	242.61	244.41	1
84	26	244.41	246.37	1
85	27	264.189	267.069	1
86	27	268.429	270.589	1
87	27	275.309	278.909	1
88	27	280.189	281.389	1
89	27	281.549	282.829	1
90	27	282.829	287.589	1
91	28	292.14	293.02	1
92	28	293.26	294.62	1
93	28	296.62	299.26	1
94	28	299.26	299.5	1
95	28	299.5	300.38	1
96	28	300.94	303.5	1
97	28	304.62	307.26	1
98	28	308.62	309.02	1
99	28	309.82	312.66	1
100	28	312.66	313.82	1
101	28	316.16	316.48	1
102	28	319.12	319.92	1
103	28	320.4	321.12	1
104	28	321.68	323.76	1
105	28	325.6	329.76	1
106	28	329.839	332.32	1
107	29	332.32	337.52	1
108	29	339.52	340.45	1
109	30	340.6	342.36	1
110	30	343.72	344.36	1
111	30	345.88	347.16	1
112	31	359.24	366.12	1
113	32	369.22	370.1	1
114	32	372.74	373.62	1
115	32	373.62	374.54	1
116	32	374.54	375.86	1
117	32	378.18	379.86	1
118	32	380.18	384.18	1
119	32	385.38	387.26	1
120	32	387.26	388.02	1
121	32	388.34	389.62	1
122	32	389.62	390.9	1
123	32	391.3	392.29	1
124	32	392.37	393.57	1
125	33	404.77	406.21	1
126	33	406.45	406.85	1
127	33	406.85	409.25	1
128	33	411.49	416.05	1
129	33	417.9	420.14	1
130	33	420.22	424.54	1
131	33	424.62	425.02	1
132	33	427.42	428.94	1
133	33	429.66	431.02	1
134	33	431.02	433.1	1
135	33	433.58	434.06	1
136	33	437.5	439.42	1
137	33	440.22	442.46	1
138	33	442.46	444.6	1
139	33	444.6	446.64	1
140	33	451.28	452.16	1
141	33	452.72	453.6	1
142	33	454.88	456.08	1
143	33	458.48	459.76	1
144	33	461.68	463.28	1
145	33	463.28	468.32	1
146	34	482.24	483.48	1
147	34	483.48	484.16	1
148	34	486.08	486.88	1
149	34	486.88	496.97	1
150	35	498.01	498.57	1
151	35	498.65	499.13	1
152	35	500.09	500.65	1
153	35	500.65	501.69	1
154	35	501.85	502.69	1
155	35	502.69	505.13	1
156	35	506.89	508.41	1
157	35	508.81	509.45	1
158	35	512.89	517.05	1
159	35	517.37	521.26	1
160	35	521.65	522.45	1
161	35	523.09	524.13	1
162	35	524.13	524.53	1
163	35	527.57	528.37	1
164	35	530.45	530.93	1
165	35	530.93	531.49	1
166	35	531.57	532.13	1
167	35	532.13	533.33	1
168	35	534.05	534.49	1
169	35	534.49	538.29	1
170	35	538.85	541.33	1
171	35	542.21	543.97	1
172	35	544.93	545.81	1
173	35	546.37	552.01	1
174	35	552.09	552.89	1
175	35	557.85	558.81	1
176	35	560.57	561.45	1
177	35	562.17	563.37	1
178	35	564.41	564.81	1
179	35	565.13	565.57	1
180	35	565.57	567.85	1
181	35	568.33	569.37	1
182	35	569.77	570.65	1
183	35	570.97	572.41	1
184	35	572.73	574.37	1
185	35	574.37	575.29	1
