turn_id	scene_id	start	end	n_sentences
0	1	3.28	4.0	2
1	1	4.0	5.8	1
2	1	5.8	6.76	1
3	1	6.76	9.0	1
4	1	9.0	10.72	1
5	1	10.88	11.36	1
6	1	11.92	13.04	1
7	1	13.2	18.56	1
8	1	18.56	18.96	1
9	2	23.12	24.16	1
10	2	24.4	24.92	1
11	2	24.92	25.92	1
12	2	26.08	26.8	1
13	2	26.8	28.56	1
14	2	29.02	31.5	1
15	2	35.02	37.7	1
16	2	37.7	38.46	1
17	2	38.46	39.14	1
18	3	39.14	40.22	1
19	3	40.22	41.02	1
20	3	41.02	42.14	1
21	3	43.34	44.62	1
22	3	45.98	46.38	1
23	3	46.38	47.06	1
24	3	47.06	47.9	1
25	4	51.9	53.34	1
26	4	54.46	54.86	1
27	4	55.02	55.9	1
28	4	56.39	57.51	1
29	4	57.51	57.95	1
30	4	57.95	58.47	1
31	4	58.47	59.03	1
32	4	60.47	61.59	1
33	4	61.59	63.67	1
34	4	63.99	65.43	1
35	4	68.39	69.91	1
36	4	69.91	70.79	1
37	4	72.229	73.43	1
38	4	73.43	75.59	1
39	4	75.59	76.31	1
40	4	76.87	77.75	1
41	4	78.15	78.99	1
42	4	78.99	79.83	1
43	4	81.59	82.27	1
44	4	132.11	133.79	1
45	6	133.95	135.67	1
46	6	135.67	138.59	1
47	6	139.71	142.63	1
48	6	142.63	144.11	1
49	7	146.03	147.07	1
50	7	147.07	148.55	1
51	7	148.55	149.31	1
52	7	150.45	151.17	1
53	7	151.25	153.73	1
54	7	154.05	154.85	1
55	7	154.85	155.05	1
56	7	155.05	155.61	1
57	7	155.61	156.13	1
58	7	157.49	159.01	1
59	7	159.01	159.45	1
60	7	159.45	162.97	1
61	7	162.97	165.09	1
62	7	165.17	167.73	1
63	7	169.73	171.17	1
64	7	171.25	172.13	1
65	8	175.73	178.38	1
66	8	178.46	180.22	1
67	8	180.22	182.06	1
68	8	184.3	192.86	1
69	8	192.86	193.82	1
70	8	195.9	197.86	1
71	8	197.86	200.54	1
72	8	202.22	203.82	1
73	8	204.72	205.84	1
74	8	206.56	208.84	1
75	8	208.84	211.04	1
76	8	211.2	212.0	1
77	8	213.76	215.76	1
78	8	216.8	218.88	1
79	8	220.4	221.96	1
80	8	221.96	223.12	1
81	8	224.4	225.04	1
82	8	225.2	226.32	1
83	8	226.32	227.68	1
84	8	227.68	228.88	1
85	8	229.44	231.6	1
86	8	232.35	232.79	1
87	8	232.79	234.59	1
88	8	236.83	237.79	1
89	8	240.19	241.11	1
90	8	241.11	242.51	1
91	8	242.51	245.39	1
92	8	245.39	247.39	1
93	8	247.39	247.63	1
94	8	247.71	248.109	1
95	8	248.19	249.23	1
96	8	249.95	252.43	1
97	8	256.75	257.23	1
98	8	257.939	259.939	1
99	8	262.579	264.979	1
