turn_id	scene_id	start	end	n_sentences
0	38	0.24	1.2	1
1	38	1.36	4.0	1
2	38	4.4	5.36	1
3	38	6.24	7.4	1
4	38	7.4	8.28	1
5	38	8.28	10.24	1
6	38	11.04	12.64	1
7	38	13.28	16.92	1
8	38	16.92	18.56	1
9	38	18.56	19.52	1
10	38	21.12	21.52	1
11	38	21.92	22.48	1
12	38	23.12	24.32	1
13	38	24.8	26.16	1
14	38	26.24	27.44	1
15	38	29.39	29.87	1
16	38	30.43	30.99	1
17	38	30.99	31.31	1
18	38	38.83	40.59	1
19	38	43.63	62.57	1
20	40	63.77	88.89	1
21	41	91.51	92.47	1
22	41	92.47	93.19	1
23	41	93.19	94.07	1
24	41	94.31	94.95	1
25	41	96.71	98.07	1
26	41	98.15	99.75	1
27	42	105.91	107.99	1
28	43	115.83	117.43	1
29	43	118.39	118.87	1
30	43	119.51	119.99	1
31	43	120.71	121.43	1
32	43	121.79	122.11	1
33	43	122.27	125.15	1
34	43	126.59	127.39	1
35	43	127.63	128.67	1
36	43	130.35	132.51	1
37	43	134.75	135.87	1
38	43	135.87	136.35	1
39	43	136.83	137.31	1
40	43	137.79	138.99	1
41	43	138.99	139.43	1
42	43	139.43	140.03	1
43	43	143.87	144.75	1
44	43	144.75	146.03	1
45	43	146.59	148.03	1
46	43	149.71	150.11	1
47	43	150.11	151.47	1
48	43	152.59	154.49	1
49	43	154.57	156.17	1
50	43	156.97	158.09	1
51	43	158.17	159.61	1
52	43	164.57	165.05	1
53	44	165.45	165.85	1
54	44	166.25	169.53	1
55	44	170.09	172.41	1
56	44	174.09	174.89	1
57	44	176.25	176.61	1
58	44	176.61	177.21	1
59	44	177.21	177.93	1
60	44	177.93	178.33	1
61	44	178.41	179.53	1
62	44	179.83	185.99	1
63	44	188.07	188.47	1
64	44	188.63	191.27	1
65	44	192.07	192.55	1
66	44	192.63	193.11	1
67	44	193.19	194.35	1
68	44	194.35	195.67	1
69	44	197.03	199.83	1
70	44	200.63	201.59	1
71	44	202.31	202.71	1
72	44	202.71	205.99	1
73	44	209.75	211.35	1
74	44	212.85	213.09	1
75	44	213.09	214.21	1
76	44	214.37	215.25	1
77	44	215.33	216.77	1
78	44	216.85	221.57	1
79	44	221.57	222.13	1
80	44	222.13	222.97	1
81	44	222.97	224.61	1
82	44	224.61	225.65	1
83	44	225.81	226.17	1
84	44	226.17	226.45	1
85	44	226.45	227.29	1
86	44	227.29	229.41	1
87	44	231.17	231.77	1
88	44	231.77	233.09	1
89	44	235.01	236.37	1
90	44	236.37	237.01	1
91	44	237.09	237.65	1
92	44	237.89	240.29	1
93	44	240.29	240.93	1
94	44	242.61	243.09	1
95	44	244.11	247.87	1
96	44	248.35	249.23	1
97	44	249.23	250.43	1
98	44	250.43	252.19	1
99	44	253.95	254.55	1
100	44	254.55	255.91	1
101	44	255.91	258.35	1
102	44	258.51	259.95	1
103	44	261.15	261.79	1
104	44	261.87	263.31	1
105	44	263.39	263.79	1
106	44	266.27	267.95	1
107	44	268.03	270.11	1
108	44	270.11	273.15	1
109	44	275.73	276.89	1
110	44	276.89	277.81	1
111	45	280.61	282.05	1
112	45	283.01	284.25	2
113	45	284.25	285.25	1
114	45	285.65	286.61	1
115	45	287.17	288.29	1
116	45	288.69	289.57	1
117	45	289.57	290.21	1
118	45	290.45	291.17	1
119	45	292.85	293.49	1
120	45	294.85	295.89	1
121	45	296.13	296.81	1
122	45	296.81	298.29	1
123	45	298.61	300.37	1
124	45	300.85	302.77	1
125	45	302.85	304.29	1
126	45	304.37	305.21	1
127	45	305.21	305.97	1
128	45	309.49	311.09	1
129	45	312.61	313.57	1
130	45	315.33	315.73	1
131	45	317.25	317.65	1
132	45	323.65	327.25	1
133	45	329.39	329.67	1
134	45	329.67	330.27	1
135	45	331.55	334.59	1
136	46	342.11	343.55	1
137	46	343.71	344.43	1
138	46	344.43	346.11	1
139	46	346.11	347.55	1
140	46	347.63	352.19	1
141	46	352.19	352.75	1
142	46	358.92	359.56	1
143	46	361.56	362.44	1
144	46	362.52	362.92	1
145	46	362.92	363.56	1
146	46	368.68	369.639	1
147	46	369.64	370.6	1
148	46	371.88	375.32	1
149	46	376.92	378.52	1
150	46	382.05	382.53	1
151	46	385.09	386.93	1
152	46	387.41	388.61	1
153	47	388.69	395.53	1
154	47	395.53	397.01	1
155	47	398.21	398.77	1
156	47	399.01	399.81	1
157	47	400.77	401.25	1
158	47	402.13	403.09	1
159	47	404.05	404.49	1
160	47	404.49	405.09	1
161	47	406.05	406.37	1
162	47	406.37	407.25	1
163	47	408.85	409.25	1
164	47	409.41	410.53	1
165	47	411.01	412.21	1
166	47	412.91	413.67	1
167	47	413.67	414.03	1
168	47	416.11	417.31	1
169	47	417.87	422.43	1
170	47	422.43	423.23	1
171	47	423.23	426.19	1
172	47	426.19	428.509	1
173	47	428.509	430.11	1
174	47	432.11	436.71	1
175	47	436.71	437.75	1
176	47	437.75	439.15	1
177	47	439.15	440.11	1
178	47	440.49	440.85	1
179	47	440.85	442.73	1
180	47	444.09	447.53	1
181	47	447.53	448.17	1
182	47	449.61	450.25	1
183	47	450.25	452.01	1
184	47	452.97	453.61	1
185	47	458.81	459.45	1
186	49	459.45	462.25	1
187	49	463.93	464.57	1
188	49	464.65	465.45	1
189	49	465.94	469.06	1
190	49	470.26	473.22	1
191	49	478.34	480.1	1
192	49	481.78	482.98	1
193	49	483.3	483.86	1
194	49	484.34	484.82	1
195	49	485.3	485.74	1
196	49	485.74	486.98	1
197	49	489.14	491.32	1
198	49	492.03	492.43	1
199	50	507.15	509.07	1
200	50	509.47	510.35	1
201	50	512.67	513.71	1
202	50	514.35	515.55	1
203	50	516.51	518.59	1
204	50	518.59	520.43	1
205	50	524.73	525.69	1
206	50	527.45	528.17	1
207	50	528.17	528.57	1
208	50	528.57	529.13	1
209	50	531.21	532.05	1
210	50	532.05	532.57	1
211	50	541.05	544.57	1
212	50	544.73	547.29	1
213	50	551.15	551.35	1
214	50	551.35	552.27	1
215	50	553.39	553.95	1
216	50	557.87	561.55	1
217	50	563.39	563.99	1
218	51	563.99	565.07	1
219	51	565.07	565.469	1
220	51	565.469	565.909	1
221	51	565.909	566.91	1
222	52	570.59	574.27	1
223	52	574.27	575.87	1
224	52	577.09	577.65	1
225	52	578.05	579.01	1
226	52	579.25	580.29	1
227	52	581.89	582.45	1
228	52	584.69	588.37	1
229	52	589.33	592.21	1
230	52	593.81	594.37	1
231	52	596.05	599.41	1
232	52	599.41	600.69	1
233	52	600.69	602.42	1
234	52	602.42	603.38	1
235	52	603.38	605.78	1
236	52	607.7	608.66	1
237	52	608.66	609.78	1
238	52	610.1	612.34	1
239	52	612.42	613.86	1
240	52	613.94	616.66	1
241	52	617.3	618.82	1
242	52	619.38	632.18	1
243	52	635.46	636.18	1
244	52	636.34	638.02	1
245	52	641.38	642.26	1
246	53	642.98	645.06	1
247	53	646.34	647.46	1
248	53	648.02	649.78	1
249	53	650.26	652.9	1
250	53	653.06	653.42	1
251	53	653.42	654.5	1
252	53	654.74	655.85	1
253	53	656.0	656.56	1
254	53	658.0	658.4	1
255	53	658.48	659.12	1
256	53	659.84	660.4	1
257	53	660.72	661.36	1
258	53	663.2	666.32	1
259	53	668.48	671.04	1
