scene_id	start	end	duration	n_nodes	n_edges	density	n_components	n_interaction_edges	interaction_density	interaction_entropy
1	3.28	81.82	78.53999999999999	4	6	1.0	1	6	1.0	1.8738723431038677
4	93.899	172.69	78.791	6	15	1.0	1	9	0.6	3.0511417826553333
5	175.729	236.96	61.230999999999995	3	3	1.0	1	3	1.0	1.360471654762178
6	239.52	268.31	28.789999999999992	5	10	1.0	1	7	0.7	2.511003052232052
7	268.49	304.99	36.5	3	3	1.0	1	3	1.0	0.7304449012374237
8	304.99	342.94	37.94999999999999	3	3	1.0	1	2	0.6666666666666666	0.9407366901186296
9	347.26	452.06	104.80000000000001	6	15	1.0	1	11	0.7333333333333333	3.0954910305135326
10	452.06	473.33	21.269999999999982	1	0	0.0	1	0	0.0	0.0
11	473.97	481.73	7.759999999999991	1	0	0.0	1	0	0.0	0.0
12	481.73	598.38	116.64999999999998	8	28	1.0	1	19	0.6785714285714286	3.5853130753279006
13	601.1	607.98	6.8799999999999955	3	3	1.0	1	3	1.0	1.4459104339436073
14	608.62	629.42	20.799999999999955	3	3	1.0	1	2	0.6666666666666666	1.2311188572526812
16	629.42	666.42	37.0	4	6	1.0	1	5	0.8333333333333334	2.163872548257248
17	673.38	693.33	19.950000000000045	3	3	1.0	1	2	0.6666666666666666	1.1526815300194864
