scene_id	start	end	duration	n_nodes	n_edges	density	n_components	n_interaction_edges	interaction_density	interaction_entropy
10	0.16	2.16	2.0	1	0	0.0	1	0	0.0	0.0
12	2.48	16.72	14.239999999999998	3	3	1.0	1	3	1.0	1.5439721262592938
13	20.4	20.88	0.4800000000000004	1	0	0.0	1	0	0.0	0.0
14	24.72	28.4	3.6799999999999997	1	0	0.0	1	0	0.0	0.0
15	28.4	54.22	25.82	2	1	1.0	1	1	1.0	-0.0
16	56.3	76.0	19.700000000000003	2	1	1.0	1	1	1.0	-0.0
17	76.0	77.0	1.0	1	0	0.0	1	0	0.0	0.0
18	79.16	91.7	12.540000000000006	1	0	0.0	1	0	0.0	0.0
20	108.98	160.35	51.36999999999999	2	1	1.0	1	1	1.0	-0.0
21	172.75	253.72	80.97	3	3	1.0	1	3	1.0	1.3205860667944487
22	258.66	270.499	11.838999999999999	2	1	1.0	1	1	1.0	-0.0
23	270.499	272.26	1.7609999999999673	1	0	0.0	1	0	0.0	0.0
24	272.98	369.7	96.71999999999997	4	6	1.0	1	4	0.6666666666666666	1.2948396245587317
25	370.23	386.83	16.599999999999966	2	1	1.0	1	1	1.0	-0.0
26	386.83	387.43	0.6000000000000227	1	0	0.0	1	0	0.0	0.0
27	392.95	395.67	2.7200000000000273	1	0	0.0	1	0	0.0	0.0
28	398.87	418.049	19.178999999999974	2	1	1.0	1	1	1.0	-0.0
29	423.73	434.32	10.589999999999975	3	3	1.0	1	3	1.0	1.4284375942507253
30	440.96	518.71	77.75000000000006	4	6	1.0	1	6	1.0	1.8565995694316397
31	524.95	561.12	36.16999999999996	3	3	1.0	1	3	1.0	0.9691629475583081
32	575.78	601.24	25.460000000000036	2	1	1.0	1	1	1.0	-0.0
34	608.36	627.42	19.059999999999945	2	1	1.0	1	1	1.0	-0.0
35	633.42	649.98	16.56000000000006	1	0	0.0	1	0	0.0	0.0
