scene_id	start	end	duration	n_nodes	n_edges	density	n_components	n_interaction_edges	interaction_density	interaction_entropy
53	0.24	1.44	1.2	2	1	1.0	1	1	1.0	-0.0
54	7.6	130.76	123.16	4	6	1.0	1	5	0.8333333333333334	1.0158769132010257
55	131.72	144.88	13.159999999999997	3	3	1.0	1	3	1.0	1.5765102891007419
56	144.88	152.95	8.069999999999993	2	1	1.0	1	1	1.0	-0.0
57	157.11	192.37	35.25999999999999	2	1	1.0	1	1	1.0	-0.0
59	197.57	203.73	6.159999999999997	2	1	1.0	1	1	1.0	-0.0
60	206.29	250.36	44.07000000000002	2	1	1.0	1	1	1.0	-0.0
61	251.88	276.95	25.069999999999993	2	1	1.0	1	1	1.0	-0.0
62	281.43	367.12	85.69	3	3	1.0	1	3	1.0	1.5643433045863802
63	368.96	376.62	7.660000000000025	2	1	1.0	1	1	1.0	-0.0
64	382.38	412.53	30.149999999999977	3	3	1.0	1	3	1.0	1.3656733380982744
66	413.17	419.73	6.560000000000002	2	1	1.0	1	1	1.0	-0.0
67	422.29	460.31	38.01999999999998	4	6	1.0	1	5	0.8333333333333334	1.7825466568096404
68	460.31	502.47	42.160000000000025	2	1	1.0	1	1	1.0	-0.0
69	506.23	507.67	1.4399999999999977	1	0	0.0	1	0	0.0	0.0
70	522.75	601.06	78.30999999999995	3	3	1.0	1	3	1.0	1.4345678928195449
71	604.58	624.97	20.389999999999986	4	6	1.0	1	6	1.0	2.207869602667602
72	630.33	638.25	7.919999999999959	4	6	1.0	1	5	0.8333333333333334	2.151173079324043
73	641.73	653.97	12.240000000000009	2	1	1.0	1	1	1.0	-0.0
74	658.61	664.45	5.840000000000032	2	1	1.0	1	1	1.0	-0.0
75	670.53	675.23	4.7000000000000455	2	1	1.0	1	1	1.0	-0.0
76	678.27	717.12	38.85000000000002	1	0	0.0	1	0	0.0	0.0
