scene_id	start	end	duration	n_nodes	n_edges	density	n_components	n_interaction_edges	interaction_density	interaction_entropy
42	0.48	10.88	10.4	1	0	0.0	1	0	0.0	0.0
43	13.68	23.0	9.32	2	1	1.0	1	1	1.0	-0.0
44	23.0	29.59	6.59	2	1	1.0	1	1	1.0	-0.0
45	30.47	166.73	136.26	2	1	1.0	1	1	1.0	-0.0
46	171.69	197.69	26.0	2	1	1.0	1	1	1.0	-0.0
47	203.29	215.46	12.170000000000016	2	1	1.0	1	1	1.0	-0.0
48	219.94	232.5	12.560000000000002	2	1	1.0	1	1	1.0	-0.0
49	242.35	315.47	73.12000000000003	2	1	1.0	1	1	1.0	-0.0
50	315.47	316.31	0.839999999999975	1	0	0.0	1	0	0.0	0.0
51	322.95	385.51	62.56	2	1	1.0	1	1	1.0	-0.0
52	394.39	490.78	96.38999999999999	2	1	1.0	1	1	1.0	-0.0
53	497.74	503.02	5.279999999999973	2	1	1.0	1	1	1.0	-0.0
54	511.44	590.56	79.11999999999995	2	1	1.0	1	1	1.0	-0.0
55	590.88	650.8	59.91999999999996	2	1	1.0	1	1	1.0	-0.0
56	666.4	677.37	10.970000000000027	2	1	1.0	1	1	1.0	-0.0
