episode	season	unit	window_lo	window_hi	gold_full_n	gold_window_n	gold_window_n_b	pred_full_n	pred_window_n	pred_window_n_b	iou_mean	iou_median	iou_ge_0.5	tp@2s	fp@2s	fn@2s	P@2s	R@2s	F1@2s	tp@5s	fp@5s	fn@5s	P@5s	R@5s	F1@5s	tp@10s	fp@10s	fn@10s	P@10s	R@10s	F1@10s
s01e01a	1	scene	18.96	874.42	11	9	8	19	19	18	0.2821	0.2927	0.1111	0	18	8	0.0	0.0	0.0	3	15	5	0.1667	0.375	0.2308	3	15	5	0.1667	0.375	0.2308
s01e01a	1	segment	18.96	874.42	22	20	19	19	19	18	0.5182	0.4895	0.4	4	14	15	0.2222	0.2105	0.2162	11	7	8	0.6111	0.5789	0.5946	11	7	8	0.6111	0.5789	0.5946
s01e01b	1	scene	0.16	862.91	11	11	10	16	16	15	0.5278	0.5441	0.6364	1	14	9	0.0667	0.1	0.08	5	10	5	0.3333	0.5	0.4	7	8	3	0.4667	0.7	0.56
s01e01b	1	segment	0.16	862.91	27	27	26	16	16	15	0.4341	0.3676	0.4074	2	13	24	0.1333	0.0769	0.0976	9	6	17	0.6	0.3462	0.439	12	3	14	0.8	0.4615	0.5854
s01e02a	1	scene	2.16	712.19	7	7	6	13	13	12	0.3637	0.3467	0.1429	1	11	5	0.0833	0.1667	0.1111	2	10	4	0.1667	0.3333	0.2222	3	9	3	0.25	0.5	0.3333
s01e02a	1	segment	2.16	712.19	16	16	15	13	13	12	0.6006	0.6943	0.6875	2	10	13	0.1667	0.1333	0.1481	8	4	7	0.6667	0.5333	0.5926	10	2	5	0.8333	0.6667	0.7407
s01e02b	1	scene	0.64	706.92	9	9	8	14	14	13	0.6262	0.755	0.7778	1	12	7	0.0769	0.125	0.0952	4	9	4	0.3077	0.5	0.381	7	6	1	0.5385	0.875	0.6667
s01e02b	1	segment	0.64	706.92	15	15	14	14	14	13	0.5249	0.5183	0.5333	4	9	10	0.3077	0.2857	0.2963	7	6	7	0.5385	0.5	0.5185	10	3	4	0.7692	0.7143	0.7407
s01e03a	1	scene	4.8	696.44	13	13	12	23	23	22	0.3365	0.2817	0.2308	3	19	9	0.1364	0.25	0.1765	5	17	7	0.2273	0.4167	0.2941	7	15	5	0.3182	0.5833	0.4118
s01e03a	1	segment	4.8	696.44	22	22	21	23	23	22	0.4417	0.429	0.4091	6	16	15	0.2727	0.2857	0.2791	9	13	12	0.4091	0.4286	0.4186	13	9	8	0.5909	0.619	0.6047
s01e03b	1	scene	0.24	696.0	15	15	14	17	17	16	0.451	0.445	0.3333	3	13	11	0.1875	0.2143	0.2	6	10	8	0.375	0.4286	0.4	7	9	7	0.4375	0.5	0.4667
s01e03b	1	segment	0.24	696.0	20	20	19	17	17	16	0.3983	0.3149	0.35	3	13	16	0.1875	0.1579	0.1714	7	9	12	0.4375	0.3684	0.4	8	8	11	0.5	0.4211	0.4571
s01e04a	1	scene	1.28	742.46	12	12	11	14	14	13	0.4444	0.3799	0.4167	2	11	9	0.1538	0.1818	0.1667	7	6	4	0.5385	0.6364	0.5833	7	6	4	0.5385	0.6364	0.5833
s01e04a	1	segment	1.28	742.46	19	19	18	14	14	13	0.4515	0.4511	0.4737	3	10	15	0.2308	0.1667	0.1935	9	4	9	0.6923	0.5	0.5806	10	3	8	0.7692	0.5556	0.6452
s01e04b	1	scene	0.8	735.52	16	16	15	17	17	16	0.6048	0.702	0.625	4	12	11	0.25	0.2667	0.2581	10	6	5	0.625	0.6667	0.6452	11	5	4	0.6875	0.7333	0.7097
s01e04b	1	segment	0.8	735.52	23	23	22	17	17	16	0.5059	0.44	0.4783	4	12	18	0.25	0.1818	0.2105	12	4	10	0.75	0.5455	0.6316	13	3	9	0.8125	0.5909	0.6842
s01e05a	1	scene	2.0	691.0	13	13	12	18	18	17	0.3537	0.3015	0.3846	2	15	10	0.1176	0.1667	0.1379	4	13	8	0.2353	0.3333	0.2759	5	12	7	0.2941	0.4167	0.3448
s01e05a	1	segment	2.0	691.0	22	22	21	18	18	17	0.4694	0.4891	0.5	5	12	16	0.2941	0.2381	0.2632	10	7	11	0.5882	0.4762	0.5263	11	6	10	0.6471	0.5238	0.5789
s01e05b	1	scene	0.32	685.01	12	12	11	27	27	26	0.5175	0.5329	0.5833	0	26	11	0.0	0.0	0.0	8	18	3	0.3077	0.7273	0.4324	10	16	1	0.3846	0.9091	0.5405
s01e05b	1	segment	0.32	685.01	20	20	19	27	27	26	0.6154	0.7008	0.7	5	21	14	0.1923	0.2632	0.2222	15	11	4	0.5769	0.7895	0.6667	17	9	2	0.6538	0.8947	0.7556
s01e06a	1	scene	5.76	720.0	11	10	9	11	11	10	0.3838	0.3006	0.4	2	8	7	0.2	0.2222	0.2105	3	7	6	0.3	0.3333	0.3158	3	7	6	0.3	0.3333	0.3158
s01e06a	1	segment	5.76	720.0	28	27	26	11	11	10	0.2767	0.2055	0.1852	4	6	22	0.4	0.1538	0.2222	6	4	20	0.6	0.2308	0.3333	6	4	20	0.6	0.2308	0.3333
s01e06b	1	scene	0.16	709.15	11	11	10	15	15	14	0.3558	0.4715	0.4545	1	13	9	0.0714	0.1	0.0833	4	10	6	0.2857	0.4	0.3333	6	8	4	0.4286	0.6	0.5
s01e06b	1	segment	0.16	709.15	18	18	17	15	15	14	0.5421	0.7107	0.6111	4	10	13	0.2857	0.2353	0.2581	9	5	8	0.6429	0.5294	0.5806	12	2	5	0.8571	0.7059	0.7742
s01e07a	1	scene	1.28	728.0	10	10	9	20	20	19	0.4182	0.4212	0.3	2	17	7	0.1053	0.2222	0.1429	5	14	4	0.2632	0.5556	0.3571	5	14	4	0.2632	0.5556	0.3571
s01e07a	1	segment	1.28	728.0	20	20	19	20	20	19	0.5436	0.5623	0.6	3	16	16	0.1579	0.1579	0.1579	10	9	9	0.5263	0.5263	0.5263	11	8	8	0.5789	0.5789	0.5789
s01e07b	1	scene	0.24	722.37	12	12	11	27	27	26	0.4308	0.515	0.5833	3	23	8	0.1154	0.2727	0.1622	8	18	3	0.3077	0.7273	0.4324	9	17	2	0.3462	0.8182	0.4865
s01e07b	1	segment	0.24	722.37	21	21	20	27	27	26	0.5493	0.5263	0.5714	5	21	15	0.1923	0.25	0.2174	14	12	6	0.5385	0.7	0.6087	17	9	3	0.6538	0.85	0.7391
s01e08a	1	scene	6.96	700.41	18	18	17	20	20	19	0.3446	0.1931	0.3333	1	18	16	0.0526	0.0588	0.0556	8	11	9	0.4211	0.4706	0.4444	9	10	8	0.4737	0.5294	0.5
s01e08a	1	segment	6.96	700.41	28	27	26	20	20	19	0.3989	0.3435	0.4074	3	16	23	0.1579	0.1154	0.1333	14	5	12	0.7368	0.5385	0.6222	16	3	10	0.8421	0.6154	0.7111
s01e08b	1	scene	0.48	698.3	12	12	11	16	16	15	0.4278	0.3965	0.3333	2	13	9	0.1333	0.1818	0.1538	5	10	6	0.3333	0.4545	0.3846	6	9	5	0.4	0.5455	0.4615
s01e08b	1	segment	0.48	698.3	29	29	28	16	16	15	0.4319	0.3541	0.4483	4	11	24	0.2667	0.1429	0.186	11	4	17	0.7333	0.3929	0.5116	14	1	14	0.9333	0.5	0.6512
s01e09a	1	scene	7.28	689.0	16	16	15	14	14	13	0.3107	0.1814	0.25	0	13	15	0.0	0.0	0.0	5	8	10	0.3846	0.3333	0.3571	6	7	9	0.4615	0.4	0.4286
