episode	season	unit	window_lo	window_hi	gold_full_n	gold_window_n	gold_window_n_b	pred_full_n	pred_window_n	pred_window_n_b	iou_mean	iou_median	iou_ge_0.5	tp@2s	fp@2s	fn@2s	P@2s	R@2s	F1@2s	tp@5s	fp@5s	fn@5s	P@5s	R@5s	F1@5s	tp@10s	fp@10s	fn@10s	P@10s	R@10s	F1@10s
s01e01a	1	scene	18.96	874.42	11	9	8	20	20	19	0.2681	0.2085	0.1111	0	19	8	0.0	0.0	0.0	3	16	5	0.1579	0.375	0.2222	3	16	5	0.1579	0.375	0.2222
s01e01a	1	segment	18.96	874.42	22	20	19	20	20	19	0.5013	0.4895	0.4	4	15	15	0.2105	0.2105	0.2105	11	8	8	0.5789	0.5789	0.5789	11	8	8	0.5789	0.5789	0.5789
s01e01b	1	scene	0.16	862.91	11	11	10	18	18	17	0.4891	0.5255	0.5455	1	16	9	0.0588	0.1	0.0741	5	12	5	0.2941	0.5	0.3704	7	10	3	0.4118	0.7	0.5185
s01e01b	1	segment	0.16	862.91	27	27	26	18	18	17	0.4797	0.5006	0.5185	2	15	24	0.1176	0.0769	0.093	10	7	16	0.5882	0.3846	0.4651	13	4	13	0.7647	0.5	0.6047
s01e02a	1	scene	2.16	712.19	7	7	6	14	14	13	0.3549	0.3467	0.1429	1	12	5	0.0769	0.1667	0.1053	2	11	4	0.1538	0.3333	0.2105	3	10	3	0.2308	0.5	0.3158
s01e02a	1	segment	2.16	712.19	16	16	15	14	14	13	0.5739	0.6768	0.6875	2	11	13	0.1538	0.1333	0.1429	8	5	7	0.6154	0.5333	0.5714	10	3	5	0.7692	0.6667	0.7143
s01e02b	1	scene	0.64	706.92	9	9	8	16	16	15	0.5634	0.6143	0.5556	1	14	7	0.0667	0.125	0.087	4	11	4	0.2667	0.5	0.3478	7	8	1	0.4667	0.875	0.6087
s01e02b	1	segment	0.64	706.92	15	15	14	16	16	15	0.5065	0.5183	0.5333	4	11	10	0.2667	0.2857	0.2759	7	8	7	0.4667	0.5	0.4828	10	5	4	0.6667	0.7143	0.6897
s01e03a	1	scene	4.8	696.44	13	13	12	23	23	22	0.3365	0.2817	0.2308	3	19	9	0.1364	0.25	0.1765	5	17	7	0.2273	0.4167	0.2941	7	15	5	0.3182	0.5833	0.4118
s01e03a	1	segment	4.8	696.44	22	22	21	23	23	22	0.4417	0.429	0.4091	6	16	15	0.2727	0.2857	0.2791	9	13	12	0.4091	0.4286	0.4186	13	9	8	0.5909	0.619	0.6047
s01e03b	1	scene	0.24	696.0	15	15	14	19	19	18	0.4912	0.445	0.4667	3	15	11	0.1667	0.2143	0.1875	7	11	7	0.3889	0.5	0.4375	8	10	6	0.4444	0.5714	0.5
s01e03b	1	segment	0.24	696.0	20	20	19	19	19	18	0.4402	0.3599	0.45	3	15	16	0.1667	0.1579	0.1622	8	10	11	0.4444	0.4211	0.4324	9	9	10	0.5	0.4737	0.4865
s01e04a	1	scene	1.28	742.46	12	12	11	15	15	14	0.4414	0.3615	0.4167	2	12	9	0.1429	0.1818	0.16	7	7	4	0.5	0.6364	0.56	7	7	4	0.5	0.6364	0.56
s01e04a	1	segment	1.28	742.46	19	19	18	15	15	14	0.4852	0.5328	0.5263	3	11	15	0.2143	0.1667	0.1875	9	5	9	0.6429	0.5	0.5625	11	3	7	0.7857	0.6111	0.6875
s01e04b	1	scene	0.8	735.52	16	16	15	18	18	17	0.5868	0.5963	0.625	4	13	11	0.2353	0.2667	0.25	10	7	5	0.5882	0.6667	0.625	11	6	4	0.6471	0.7333	0.6875
s01e04b	1	segment	0.8	735.52	23	23	22	18	18	17	0.5188	0.4881	0.4783	4	13	18	0.2353	0.1818	0.2051	12	5	10	0.7059	0.5455	0.6154	13	4	9	0.7647	0.5909	0.6667
s01e05a	1	scene	2.0	691.0	13	13	12	20	20	19	0.3287	0.2861	0.3846	2	17	10	0.1053	0.1667	0.129	4	15	8	0.2105	0.3333	0.2581	5	14	7	0.2632	0.4167	0.3226
s01e05a	1	segment	2.0	691.0	22	22	21	20	20	19	0.4978	0.5432	0.6364	5	14	16	0.2632	0.2381	0.25	10	9	11	0.5263	0.4762	0.5	12	7	9	0.6316	0.5714	0.6
s01e05b	1	scene	0.32	685.01	12	12	11	28	28	27	0.4826	0.4975	0.5	0	27	11	0.0	0.0	0.0	8	19	3	0.2963	0.7273	0.4211	10	17	1	0.3704	0.9091	0.5263
s01e05b	1	segment	0.32	685.01	20	20	19	28	28	27	0.5945	0.66	0.65	5	22	14	0.1852	0.2632	0.2174	15	12	4	0.5556	0.7895	0.6522	17	10	2	0.6296	0.8947	0.7391
s01e06a	1	scene	5.76	720.0	11	10	9	16	16	15	0.2996	0.2711	0.2	2	13	7	0.1333	0.2222	0.1667	3	12	6	0.2	0.3333	0.25	3	12	6	0.2	0.3333	0.25
s01e06a	1	segment	5.76	720.0	28	27	26	16	16	15	0.346	0.2551	0.3333	6	9	20	0.4	0.2308	0.2927	8	7	18	0.5333	0.3077	0.3902	9	6	17	0.6	0.3462	0.439
s01e06b	1	scene	0.16	709.15	11	11	10	20	20	19	0.273	0.3564	0.1818	1	18	9	0.0526	0.1	0.069	4	15	6	0.2105	0.4	0.2759	6	13	4	0.3158	0.6	0.4138
s01e06b	1	segment	0.16	709.15	18	18	17	20	20	19	0.4519	0.5279	0.5556	4	15	13	0.2105	0.2353	0.2222	9	10	8	0.4737	0.5294	0.5	12	7	5	0.6316	0.7059	0.6667
s01e07a	1	scene	1.28	728.0	10	10	9	20	20	19	0.4182	0.4212	0.3	2	17	7	0.1053	0.2222	0.1429	5	14	4	0.2632	0.5556	0.3571	5	14	4	0.2632	0.5556	0.3571
s01e07a	1	segment	1.28	728.0	20	20	19	20	20	19	0.5436	0.5623	0.6	3	16	16	0.1579	0.1579	0.1579	10	9	9	0.5263	0.5263	0.5263	11	8	8	0.5789	0.5789	0.5789
s01e07b	1	scene	0.24	722.37	12	12	11	27	27	26	0.4308	0.515	0.5833	3	23	8	0.1154	0.2727	0.1622	8	18	3	0.3077	0.7273	0.4324	9	17	2	0.3462	0.8182	0.4865
s01e07b	1	segment	0.24	722.37	21	21	20	27	27	26	0.5493	0.5263	0.5714	5	21	15	0.1923	0.25	0.2174	14	12	6	0.5385	0.7	0.6087	17	9	3	0.6538	0.85	0.7391
s01e08a	1	scene	6.96	700.41	18	18	17	20	20	19	0.3446	0.1931	0.3333	1	18	16	0.0526	0.0588	0.0556	8	11	9	0.4211	0.4706	0.4444	9	10	8	0.4737	0.5294	0.5
s01e08a	1	segment	6.96	700.41	28	27	26	20	20	19	0.3989	0.3435	0.4074	3	16	23	0.1579	0.1154	0.1333	14	5	12	0.7368	0.5385	0.6222	16	3	10	0.8421	0.6154	0.7111
s01e08b	1	scene	0.48	698.3	12	12	11	18	18	17	0.3816	0.3473	0.3333	2	15	9	0.1176	0.1818	0.1429	5	12	6	0.2941	0.4545	0.3571	6	11	5	0.3529	0.5455	0.4286
s01e08b	1	segment	0.48	698.3	29	29	28	18	18	17	0.4226	0.3541	0.4483	4	13	24	0.2353	0.1429	0.1778	11	6	17	0.6471	0.3929	0.4889	14	3	14	0.8235	0.5	0.6222
s01e09a	1	scene	7.28	689.0	16	16	15	15	15	14	0.3015	0.2162	0.25	0	14	15	0.0	0.0	0.0	5	9	10	0.3571	0.3333	0.3448	6	8	9	0.4286	0.4	0.4138
s01e09a	1	segment	7.28	689.0	25	24	23	15	15	14	0.4173	0.4452	0.5	1	13	22	0.0714	0.0435	0.0541	10	4	13	0.7143	0.4348	0.5405	11	3	12	0.7857	0.4783	0.5946
s01e09b	1	scene	0.08	686.73	13	13	12	20	20	19	0.353	0.2947	0.3077	2	17	10	0.1053	0.1667	0.129	5	14	7	0.2632	0.4167	0.3226	7	12	5	0.3684	0.5833	0.4516
